pdfs/3186574.pdf,16 December 2016,24 February 2017,"Bruce Power Inc.","authorization to export electricity, filed with the National Energy Board (Board) under File OF-EI-Elec-B244-2016 01 01"
pdfs/3096460.pdf,19 October 2016,15 December 2016,"SocïVolta Inc.,","authorization to export electricity, filed with the National Energy Board (Board) under File OF-EI-Elec-S842-2016 01 01"
pdfs/3264987.pdf,6 March 2017,8 May 2017,"ADG Group Inc.,","authorization to export electricity, filed with the National Energy Board under File OF-EI-Elec-A796-2017 01 01"
pdfs/3185988.pdf,22 December 2016,13 February 2017,"Brookfield Energy Marketing Inc. and Brookfield Energy Marketing Inc. as General Partner on behalf of Brookfield Energy Marketing LP),","authorization to export electricity, filed with the National Energy Board (Board) under File OF-EI-Elec-B256-2016 01 01"
pdfs/3186327.pdf,20 July 2016,17 February 2017,"the (Ontario) Independent Electricity System Operator","authorization to export emergency electricity, filed with the National Energy Board (Board) under File OF-EI-Elec-I151-2016-01 01"
pdfs/2385028.pdf,10 October 2013,13 December 2013,"BP Energy Company","authorization to export electricity, filed with the National Energy Board (Board) under File OF-EI-Elec-B270-2013-01 01"
pdfs/2419144.pdf,12 December 2013,12 February 2014,"Teck Metals Ltd.","authorization to export electricity, filed with the National Energy Board (Board) under File OF-EI-Elec-T263-2013-01 01"
pdfs/2419333.pdf,9 December 2013,18 February 2014,"Plant-E Corp.","authorization to export electricity, filed with the National Energy Board (Board) under File OF-EI-Elec-P760-2013-01 01"
pdfs/2931131.pdf,9 December 2015,24 February 2016,"Ontario Power Generation Inc.","authorization to export electricity, filed with the National Energy Board (Board) under File OF-EI- Elec-O060-2015-01 01"
pdfs/2809376.pdf,1 June 2015,5 August 2015,"Peninsula Power, LLC,","authorization to export electricity, filed with the National Energy Board (Board) under File OF-EI-Elec-P771-2015 01 01"
pdfs/1057248.pdf,11 October 2013,28 October 2013,"the Manitoba Hydro-Electric Board","authorization to export electricity, filed with the National Energy Board (Board) under File OF- EI-Elec-M180-2013-01 01"
pdfs/2578885.pdf,23 September 2014,3 December 2014,"ALLETE, Inc. doing business as Minnesota Power (ALLETE)","authorization to export electricity, filed with the National Energy Board (Board) under File OF-EI-Elec-A172-2014 01 01"
pdfs/2498399.pdf,25 June 2014,19 August 2014,"Great Bay Energy VI, LLC","authorization to export electricity, filed with the National Energy Board (Board) under File OF-EI-Elec-G411-2014 01 01"
pdfs/2798184.pdf,30 April 2015,13 July 2015,"Roctop Investments Inc.,","authorization to export electricity, filed with the National Energy Board (Board) under File OF-EI-Elec-R745-2015 01 01"
pdfs/2798205.pdf,10 July 2015,14 July 2015,"the Manitoba Hydro-Electric Board (Manitoba Hydro)","authorization to export electricity as a border accommodation, filed with the National Energy Board under File OF-EI-Elec-M180-2015-01 01"
pdfs/3062872.pdf,19 July 2016,22 September 2016,"Maritime Electric Company, Limited,","authorization to export electricity, filed with the National Energy Board (Board) under File OF-EI-Elec-M190-2016 01 01"
pdfs/3013673.pdf,20 May 2016,3 August 2016,"the British Columbia Hydro and Power Authority (BC Hydro)","authorization to export electricity as a border accommodation, filed with the National Energy Board (Board) under File OF-EI-Elec-B215-2016-01 01"
pdfs/3063624.pdf,18 July 2016,21 September 2016,"Commerce Energy, Inc.,","authorization to export electricity, filed with the National Energy Board (Board) under File OF-EI-Elec-C993-2016 01 01"
pdfs/1061308.pdf,20 September 2013,14 November 2013,"PPL EnergyPlus, LLC","authorization to export electricity, filed with the National Energy Board (Board) under File OF-EI-Elec-P121-2013-01 01"
pdfs/3565040.pdf,17 September 2027,25 May 2018,"null","null"
pdfs/3063006.pdf,22 June 2016,29 September 2016,"New Brunswick Energy Marketing Corporation","authorization to export electricity, filed with the National Energy Board (Board) under File OF-EI-Elec-N715-2016-01 01"
pdfs/2484204.pdf,3 June 2014,3 July 2014,"the Manitoba Hydro-Electric Board (Manitoba Hydro)","authorization to export electricity, filed with the National Energy Board (Board) under File OF-EI-Elec-M180-2014-01 01"
pdfs/2697344.pdf,13 January 2015,9 March 2015,"TrailStone Power, LLC","authorization to export electricity, filed with the National Energy Board (Board) under File OF-EI-Elec-T295-2015 01 01"
pdfs/3335295.pdf,23 July 2017,10 October 2017,"Nexus Energy Inc.,","authorization to export electricity, filed with the National Energy Board under File OF-EI-Elec-N730-2017 01 01"
pdfs/2838107.pdf,14 August 2015,16 October 2015,"TransCanada Energy Sales Ltd.","authorization to export electricity, filed with the National Energy Board (Board) under File OF-EI-Elec-T287-2015-01 01"
pdfs/2809333.pdf,29 May 2015,30 July 2015,"the Manitoba- Hydro-Electric Board","authorization to export electricity, filed with the National Energy Board (Board) under File OF-EI-Elec-M180-2015-02 01"
pdfs/3012877.pdf,6 July 2016,2 August 2016,"the Manitoba Hydro-Electric Board","authorization to export electricity, filed with the National Energy Board (Board) under File OF-EI-Elec-M180-2016-01 01"
pdfs/2491280.pdf,3 June 2014,6 August 2014,"SESCO Enterprises Canada, Ltd.","authorization to export electricity, filed with the National Energy Board (Board) under File OF-EI-Elec-S176- 2014-01 01"
pdfs/3558306.pdf,14 March 2018,16 May 2018,"the Manitoba Hydro-Electric Board","authorization to export electricity, filed with the National Energy Board (Board) under File OF-EI-Elec-M180-2018-01 01"
pdfs/3560633.pdf,14 March 2018,25 May 2018,"Saracen Power LP","authorization to export electricity, submitted to the National Energy Board under FileOF-EI-Elec-S407-2018-01 01"
pdfs/3571680.pdf,25 March 2018,30 May 2018,"Manifold Energy Inc.","authorization to export electricity, submitted to the National Energy Board under File OF-EI-Elec-M731-2018-01 01"
pdfs/2488271.pdf,23 May 2014,24 July 2014,"the Manitoba Hydro-Electric Board","authorization to export electricity as a border accommodation, filed with the National Energy Board under File OF-EI-Elec-M180-2014-02 01"
pdfs/3310112.pdf,17 May 2017,26 July 2017,"Rubicon NYP Corp.,","authorization to export electricity, filed with the National Energy Board under File OF-EI-Elec-R751-2017 01 01"
pdfs/1032582.pdf,18 July 2013,6 September 2013,"TEC Energy Inc.","authorization to export electricity, filed with the National Energy Board (Board) under File OF-EI-Elec-T292-2013- 01 01"
pdfs/3216577.pdf,23 December 2016,29 March 2017,"Northland Power Inc.","authorization to export electricity, filed with the National Energy Board (Board) under File OF-EI-Elec-N149-2016 01 01"
pdfs/2490729.pdf,16 June 2014,6 August 2014,"Northern States Power Company, a Minnesota corporation","authorization to export electricity, filed with the National Energy Board (Board) under File OF-EI-Elec-N720-2014-01 01"
pdfs/3613247.pdf,18 July 2018,20 September 2018,"Tracel Energy Marketing Inc. as General Partner on behalf of Tracel Energy Marketing Limited Partnership 1","authorization to export electricity, submitted to the National Energy Board under File OF-EI-Elec-T318-2018-01 01"
pdfs/2949894.pdf,10 February 2016,20 April 2016,"ATCO Power Canada Ltd.","authorization to export electricity, filed with the National Energy Board (Board) under File OF-EI- Elec-A179-2016-01 01"
pdfs/3025688.pdf,10 June 2016,18 August 2016,"Tidal Energy Marketing Inc.","authorization to export electricity, filed with the National Energy Board (Board) under File OF-EI-Elec-T102-2016-01 01"
pdfs/3614087.pdf,27 July 2018,4 October 2018,"HQ Energy Marketing Inc. / Marketing d'énergie HQ Inc.,","authorization to export electricity, filed with the National Energy Board (Board) under File OF-EI-Elec-M132-2018 01 01"
pdfs/331158.pdf,28 April 2004,30 June 2004,"null","null"
pdfs/331274.pdf,11 December 2003,26 February 2004,"the New York Power Authority","an authorization to export electricity, filed with the National Energy Board under File 6200-N100-1"
pdfs/2748324.pdf,2 July 2019,26 March 2015,"the National Energy  Board  from Integrys  Energy  Services,  Inc.,  dated 16 March  2015, "," the termination of  Electricity  Export Permit EPE-340, under File OF-EI-Elec-I152-2009-01 01"
pdfs/3737655.pdf,29 June 2018,19 December 2018,"Powerex Corp. (Powerex)","authorization to export electricity, filed with the National Energy Board (Board) under File OF-EI-Elec-P340-2018-01 01"
pdfs/327900.pdf,19 March 2004,4 June 2004,"null","null"
pdfs/3894471.pdf,4 December 2019,12 December 2019,"Dead River Company (the Applicant)","an Order pursuant to sections 22 and 23 of the Regulations filed with the Canada Energy Regulator under File OF-EI-Gas-PB-ST-D157 01"
pdfs/3757102.pdf,16 November 2018,20 March 2019,"British Columbia Hydro and Power Authority","authorization to export electricity, filed with the National Energy Board (Board) under File OF-EI-Elec-B240-2018-01 01"
pdfs/3612377.pdf,18 July 2018,24 September 2018,"Direct Energy Marketing Limited","authorization to export electricity, submitted to the National Energy Board under File OF-EI-Elec-D122-2018-01 01"
pdfs/3757100.pdf,16 November 2018,20 March 2019,"British Columbia Hydro and Power Authority","authorization to export electricity, filed with the National Energy Board (Board) under File OF-EI-Elec-B240-2018-01 01"
pdfs/3760159.pdf,3 January 2019,5 April 2019,"Northland Power Energy Marketing (US) Inc.","authorization to export electricity, filed with the National Energy Board (Board) under File OF-EI-Elec-N741-2019-01"
pdfs/2698378.pdf,8 January 2015,9 March 2015,"Chubu TT Energy Management Inc.","authorization to export electricity, filed with the National Energy Board (Board) under File OF-EI-Elec-C977-2015 01 01"
pdfs/327803.pdf,25 March 2004,7 June 2004,"WPS Energy Services,Inc. (WPS)","authorization to export electricity, filed with the National Energy Board under File No. 6200-W058-1"
pdfs/339444.pdf,30 June 2004,3 November 2004,"Manitoba Hydro (MH)","authorization to export electricity, filed with the National Energy Board under File 6200-M020-15"
pdfs/331458.pdf,11 May 2004,6 July 2004,"null","null"
pdfs/408134.pdf,21 April 2006,19 May 2006,"null","null"
pdfs/442833.pdf,14 October 2013,27 November 2006,"null","null"
pdfs/2809551.pdf,1 June 2015,30 July 2015,"Targray Americas Inc.,"," authorization  to  export  electricity,  filed  with  the  National Energy Board (Board) under File OF-EI-Elec-T299-2015 01 01"
pdfs/331650.pdf,28 June 2004,15 July 2004,"null","null"
pdfs/368112.pdf,1 April 2005,6 June 2005,"the Manitoba Hydro-Electric Board (Manitoba Hydro)","authorization to export electricity, filed with the National Energy Board, under file 6200-M020-16"
